,X,y,Predict
0,"[0.6315789473684208, 0.42105263157894735, 0.415359898617393]",0.415359898617393,61.67487
1,"[0.42105263157894735, 0.415359898617393, 0.415359898617393]",0.26315789473684204,61.239376
2,"[0.415359898617393, 0.415359898617393, 0.26315789473684204]",0.30704819528680094,59.9401
3,"[0.415359898617393, 0.26315789473684204, 0.30704819528680094]",0.30704819528680094,59.871773
4,"[0.26315789473684204, 0.30704819528680094, 0.30704819528680094]",0.3157894736842102,59.76291
5,"[0.30704819528680094, 0.30704819528680094, 0.3157894736842102]",0.4736842105263155,60.012714
6,"[0.30704819528680094, 0.3157894736842102, 0.4736842105263155]",0.44802535207647987,61.424065
7,"[0.3157894736842102, 0.4736842105263155, 0.44802535207647987]",0.4736842105263155,61.941296
8,"[0.4736842105263155, 0.44802535207647987, 0.4736842105263155]",0.44802535207647987,61.893192
9,"[0.44802535207647987, 0.4736842105263155, 0.44802535207647987]",0.44802535207647987,61.821953
10,"[0.4736842105263155, 0.44802535207647987, 0.44802535207647987]",0.44802535207647987,61.67124
11,"[0.44802535207647987, 0.44802535207647987, 0.44802535207647987]",0.44802535207647987,61.680923
12,"[0.44802535207647987, 0.44802535207647987, 0.44802535207647987]",0.44802535207647987,61.680923
13,"[0.44802535207647987, 0.44802535207647987, 0.44802535207647987]",0.44802535207647987,61.680923
14,"[0.44802535207647987, 0.44802535207647987, 0.44802535207647987]",0.44802535207647987,61.680923
15,"[0.44802535207647987, 0.44802535207647987, 0.44802535207647987]",0.44802535207647987,61.680923
16,"[0.44802535207647987, 0.44802535207647987, 0.44802535207647987]",0.44802535207647987,61.680923
17,"[0.44802535207647987, 0.44802535207647987, 0.44802535207647987]",0.44802535207647987,61.680923
18,"[0.44802535207647987, 0.44802535207647987, 0.44802535207647987]",0.44802535207647987,61.680923
19,"[0.44802535207647987, 0.44802535207647987, 0.44802535207647987]",0.21052631578947345,61.680923
20,"[0.44802535207647987, 0.44802535207647987, 0.21052631578947345]",0.21049539666426798,59.88942
21,"[0.44802535207647987, 0.21052631578947345, 0.21049539666426798]",0.21049539666426798,59.322407
22,"[0.21052631578947345, 0.21049539666426798, 0.21049539666426798]",0.21049539666426798,58.405872
23,"[0.21049539666426798, 0.21049539666426798, 0.21049539666426798]",0.21049539666426798,58.40566
24,"[0.21049539666426798, 0.21049539666426798, 0.21049539666426798]",0.21049539666426798,58.40566
25,"[0.21049539666426798, 0.21049539666426798, 0.21049539666426798]",0.10526315789473673,58.40566
26,"[0.21049539666426798, 0.21049539666426798, 0.10526315789473673]",0.10584700734991781,58.01159
27,"[0.21049539666426798, 0.10526315789473673, 0.10584700734991781]",0.10584700734991781,57.903545
28,"[0.10526315789473673, 0.10584700734991781, 0.10584700734991781]",0.10584700734991781,57.738373
29,"[0.10584700734991781, 0.10584700734991781, 0.10584700734991781]",0.10584700734991781,57.738533
30,"[0.10584700734991781, 0.10584700734991781, 0.10584700734991781]",0.10584700734991781,57.738533
31,"[0.10584700734991781, 0.10584700734991781, 0.10584700734991781]",0.0,57.738533
32,"[0.10584700734991781, 0.10584700734991781, 0.0]",0.09726755242598673,57.781853
33,"[0.10584700734991781, 0.0, 0.09726755242598673]",0.09726755242598673,57.8944
34,"[0.0, 0.09726755242598673, 0.09726755242598673]",0.09726755242598673,57.617588
35,"[0.09726755242598673, 0.09726755242598673, 0.09726755242598673]",0.09726755242598673,57.788826
36,"[0.09726755242598673, 0.09726755242598673, 0.09726755242598673]",0.09726755242598673,57.788826
37,"[0.09726755242598673, 0.09726755242598673, 0.09726755242598673]",0.1578947368421053,57.788826
38,"[0.09726755242598673, 0.09726755242598673, 0.1578947368421053]",0.09940619217722002,57.641182
39,"[0.09726755242598673, 0.1578947368421053, 0.09940619217722002]",0.09940619217722002,57.5717
40,"[0.1578947368421053, 0.09940619217722002, 0.09940619217722002]",0.09940619217722002,57.795677
41,"[0.09940619217722002, 0.09940619217722002, 0.09940619217722002]",0.09940619217722002,57.77667
42,"[0.09940619217722002, 0.09940619217722002, 0.09940619217722002]",0.09940619217722002,57.77667
43,"[0.09940619217722002, 0.09940619217722002, 0.09940619217722002]",0.05263157894736814,57.77667
44,"[0.09940619217722002, 0.09940619217722002, 0.05263157894736814]",0.09940619217722002,57.806118
45,"[0.09940619217722002, 0.05263157894736814, 0.09940619217722002]",0.09940619217722002,57.853493
46,"[0.05263157894736814, 0.09940619217722002, 0.09940619217722002]",0.09940619217722002,57.69581
47,"[0.09940619217722002, 0.09940619217722002, 0.09940619217722002]",0.09940619217722002,57.77667
48,"[0.09940619217722002, 0.09940619217722002, 0.09940619217722002]",0.09940619217722002,57.77667
49,"[0.09940619217722002, 0.09940619217722002, 0.09940619217722002]",0.10526315789473673,57.77667
50,"[0.09940619217722002, 0.09940619217722002, 0.10526315789473673]",0.09940619217722002,57.770847
51,"[0.09940619217722002, 0.10526315789473673, 0.09940619217722002]",0.09940619217722002,57.74741
52,"[0.10526315789473673, 0.09940619217722002, 0.09940619217722002]",0.09940619217722002,57.777855
53,"[0.09940619217722002, 0.09940619217722002, 0.09940619217722002]",0.09940619217722002,57.77667
54,"[0.09940619217722002, 0.09940619217722002, 0.09940619217722002]",0.09940619217722002,57.77667
55,"[0.09940619217722002, 0.09940619217722002, 0.09940619217722002]",0.1578947368421053,57.77667
56,"[0.09940619217722002, 0.09940619217722002, 0.1578947368421053]",0.09940619217722002,57.64331
57,"[0.09940619217722002, 0.1578947368421053, 0.09940619217722002]",0.09940619217722002,57.578804
58,"[0.1578947368421053, 0.09940619217722002, 0.09940619217722002]",0.09940619217722002,57.795677
59,"[0.09940619217722002, 0.09940619217722002, 0.09940619217722002]",0.09940619217722002,57.77667
60,"[0.09940619217722002, 0.09940619217722002, 0.09940619217722002]",0.09940619217722002,57.77667
61,"[0.09940619217722002, 0.09940619217722002, 0.09940619217722002]",0.05263157894736814,57.77667
62,"[0.09940619217722002, 0.09940619217722002, 0.05263157894736814]",0.09940619217722002,57.806118
63,"[0.09940619217722002, 0.05263157894736814, 0.09940619217722002]",0.09940619217722002,57.853493
64,"[0.05263157894736814, 0.09940619217722002, 0.09940619217722002]",0.09940619217722002,57.69581
65,"[0.09940619217722002, 0.09940619217722002, 0.09940619217722002]",0.09940619217722002,57.77667
66,"[0.09940619217722002, 0.09940619217722002, 0.09940619217722002]",0.09940619217722002,57.77667
67,"[0.09940619217722002, 0.09940619217722002, 0.09940619217722002]",0.26315789473684204,57.77667
68,"[0.09940619217722002, 0.09940619217722002, 0.26315789473684204]",0.2319888064735811,57.624535
69,"[0.09940619217722002, 0.26315789473684204, 0.2319888064735811]",0.2319888064735811,58.245647
70,"[0.26315789473684204, 0.2319888064735811, 0.2319888064735811]",0.2319888064735811,58.97634
71,"[0.2319888064735811, 0.2319888064735811, 0.2319888064735811]",0.2319888064735811,58.765694
72,"[0.2319888064735811, 0.2319888064735811, 0.2319888064735811]",0.2319888064735811,58.765694
73,"[0.2319888064735811, 0.2319888064735811, 0.2319888064735811]",0.21052631578947345,58.765694
74,"[0.2319888064735811, 0.2319888064735811, 0.21052631578947345]",0.2319888064735811,58.627594
75,"[0.2319888064735811, 0.21052631578947345, 0.2319888064735811]",0.2319888064735811,58.69046
76,"[0.21052631578947345, 0.2319888064735811, 0.2319888064735811]",0.2319888064735811,58.631847
77,"[0.2319888064735811, 0.2319888064735811, 0.2319888064735811]",0.2319888064735811,58.765694
78,"[0.2319888064735811, 0.2319888064735811, 0.2319888064735811]",0.2319888064735811,58.765694
79,"[0.2319888064735811, 0.2319888064735811, 0.2319888064735811]",1.0,58.765694
80,"[0.2319888064735811, 0.2319888064735811, 1.0]",0.8977247539319486,60.9118
81,"[0.2319888064735811, 1.0, 0.8977247539319486]",0.8977247539319486,73.61289
82,"[1.0, 0.8977247539319486, 0.8977247539319486]",0.8977247539319486,67.4089
83,"[0.8977247539319486, 0.8977247539319486, 0.8977247539319486]",0.8977247539319486,66.78403
84,"[0.8977247539319486, 0.8977247539319486, 0.8977247539319486]",0.8977247539319486,66.78403
85,"[0.8977247539319486, 0.8977247539319486, 0.8977247539319486]",0.8977247539319486,66.78403
86,"[0.8977247539319486, 0.8977247539319486, 0.8977247539319486]",0.8977247539319486,66.78403
87,"[0.8977247539319486, 0.8977247539319486, 0.8977247539319486]",0.8977247539319486,66.78403
88,"[0.8977247539319486, 0.8977247539319486, 0.8977247539319486]",0.8977247539319486,66.78403
89,"[0.8977247539319486, 0.8977247539319486, 0.8977247539319486]",0.8977247539319486,66.78403
90,"[0.8977247539319486, 0.8977247539319486, 0.8977247539319486]",0.8977247539319486,66.78403
91,"[0.8977247539319486, 0.8977247539319486, 0.8977247539319486]",0.21052631578947345,66.78403
