,X,y,Predict
0,"[69.0, 65.0, 64.89183807373047]",[64.89183807373047],61.67487
1,"[65.0, 64.89183807373047, 64.89183807373047]",[62.0],61.239376
2,"[64.89183807373047, 64.89183807373047, 62.0]",[62.83391571044922],59.9401
3,"[64.89183807373047, 62.0, 62.83391571044922]",[62.83391571044922],59.871773
4,"[62.0, 62.83391571044922, 62.83391571044922]",[63.0],59.76291
5,"[62.83391571044922, 62.83391571044922, 63.0]",[66.0],60.012714
6,"[62.83391571044922, 63.0, 66.0]",[65.51248168945312],61.424065
7,"[63.0, 66.0, 65.51248168945312]",[66.0],61.941296
8,"[66.0, 65.51248168945312, 66.0]",[65.51248168945312],61.893192
9,"[65.51248168945312, 66.0, 65.51248168945312]",[65.51248168945312],61.821953
10,"[66.0, 65.51248168945312, 65.51248168945312]",[65.51248168945312],61.67124
11,"[65.51248168945312, 65.51248168945312, 65.51248168945312]",[65.51248168945312],61.680923
12,"[65.51248168945312, 65.51248168945312, 65.51248168945312]",[65.51248168945312],61.680923
13,"[65.51248168945312, 65.51248168945312, 65.51248168945312]",[65.51248168945312],61.680923
14,"[65.51248168945312, 65.51248168945312, 65.51248168945312]",[65.51248168945312],61.680923
15,"[65.51248168945312, 65.51248168945312, 65.51248168945312]",[65.51248168945312],61.680923
16,"[65.51248168945312, 65.51248168945312, 65.51248168945312]",[65.51248168945312],61.680923
17,"[65.51248168945312, 65.51248168945312, 65.51248168945312]",[65.51248168945312],61.680923
18,"[65.51248168945312, 65.51248168945312, 65.51248168945312]",[65.51248168945312],61.680923
19,"[65.51248168945312, 65.51248168945312, 65.51248168945312]",[61.0],61.680923
20,"[65.51248168945312, 65.51248168945312, 61.0]",[60.999412536621094],59.88942
21,"[65.51248168945312, 61.0, 60.999412536621094]",[60.999412536621094],59.322407
22,"[61.0, 60.999412536621094, 60.999412536621094]",[60.999412536621094],58.405872
23,"[60.999412536621094, 60.999412536621094, 60.999412536621094]",[60.999412536621094],58.40566
24,"[60.999412536621094, 60.999412536621094, 60.999412536621094]",[60.999412536621094],58.40566
25,"[60.999412536621094, 60.999412536621094, 60.999412536621094]",[59.0],58.40566
26,"[60.999412536621094, 60.999412536621094, 59.0]",[59.011093139648445],58.01159
27,"[60.999412536621094, 59.0, 59.011093139648445]",[59.011093139648445],57.903545
28,"[59.0, 59.011093139648445, 59.011093139648445]",[59.011093139648445],57.738373
29,"[59.011093139648445, 59.011093139648445, 59.011093139648445]",[59.011093139648445],57.738533
30,"[59.011093139648445, 59.011093139648445, 59.011093139648445]",[59.011093139648445],57.738533
31,"[59.011093139648445, 59.011093139648445, 59.011093139648445]",[57.0],57.738533
32,"[59.011093139648445, 59.011093139648445, 57.0]",[58.84808349609375],57.781853
33,"[59.011093139648445, 57.0, 58.84808349609375]",[58.84808349609375],57.8944
34,"[57.0, 58.84808349609375, 58.84808349609375]",[58.84808349609375],57.617588
35,"[58.84808349609375, 58.84808349609375, 58.84808349609375]",[58.84808349609375],57.788826
36,"[58.84808349609375, 58.84808349609375, 58.84808349609375]",[58.84808349609375],57.788826
37,"[58.84808349609375, 58.84808349609375, 58.84808349609375]",[60.00000000000001],57.788826
38,"[58.84808349609375, 58.84808349609375, 60.00000000000001]",[58.88871765136718],57.641182
39,"[58.84808349609375, 60.00000000000001, 58.88871765136718]",[58.88871765136718],57.5717
40,"[60.00000000000001, 58.88871765136718, 58.88871765136718]",[58.88871765136718],57.795677
41,"[58.88871765136718, 58.88871765136718, 58.88871765136718]",[58.88871765136718],57.77667
42,"[58.88871765136718, 58.88871765136718, 58.88871765136718]",[58.88871765136718],57.77667
43,"[58.88871765136718, 58.88871765136718, 58.88871765136718]",[58.0],57.77667
44,"[58.88871765136718, 58.88871765136718, 58.0]",[58.88871765136718],57.806118
45,"[58.88871765136718, 58.0, 58.88871765136718]",[58.88871765136718],57.853493
46,"[58.0, 58.88871765136718, 58.88871765136718]",[58.88871765136718],57.69581
47,"[58.88871765136718, 58.88871765136718, 58.88871765136718]",[58.88871765136718],57.77667
48,"[58.88871765136718, 58.88871765136718, 58.88871765136718]",[58.88871765136718],57.77667
49,"[58.88871765136718, 58.88871765136718, 58.88871765136718]",[59.0],57.77667
50,"[58.88871765136718, 58.88871765136718, 59.0]",[58.88871765136718],57.770847
51,"[58.88871765136718, 59.0, 58.88871765136718]",[58.88871765136718],57.74741
52,"[59.0, 58.88871765136718, 58.88871765136718]",[58.88871765136718],57.777855
53,"[58.88871765136718, 58.88871765136718, 58.88871765136718]",[58.88871765136718],57.77667
54,"[58.88871765136718, 58.88871765136718, 58.88871765136718]",[58.88871765136718],57.77667
55,"[58.88871765136718, 58.88871765136718, 58.88871765136718]",[60.00000000000001],57.77667
56,"[58.88871765136718, 58.88871765136718, 60.00000000000001]",[58.88871765136718],57.64331
57,"[58.88871765136718, 60.00000000000001, 58.88871765136718]",[58.88871765136718],57.578804
58,"[60.00000000000001, 58.88871765136718, 58.88871765136718]",[58.88871765136718],57.795677
59,"[58.88871765136718, 58.88871765136718, 58.88871765136718]",[58.88871765136718],57.77667
60,"[58.88871765136718, 58.88871765136718, 58.88871765136718]",[58.88871765136718],57.77667
61,"[58.88871765136718, 58.88871765136718, 58.88871765136718]",[58.0],57.77667
62,"[58.88871765136718, 58.88871765136718, 58.0]",[58.88871765136718],57.806118
63,"[58.88871765136718, 58.0, 58.88871765136718]",[58.88871765136718],57.853493
64,"[58.0, 58.88871765136718, 58.88871765136718]",[58.88871765136718],57.69581
65,"[58.88871765136718, 58.88871765136718, 58.88871765136718]",[58.88871765136718],57.77667
66,"[58.88871765136718, 58.88871765136718, 58.88871765136718]",[58.88871765136718],57.77667
67,"[58.88871765136718, 58.88871765136718, 58.88871765136718]",[62.0],57.77667
68,"[58.88871765136718, 58.88871765136718, 62.0]",[61.40778732299805],57.624535
69,"[58.88871765136718, 62.0, 61.40778732299805]",[61.40778732299805],58.245647
70,"[62.0, 61.40778732299805, 61.40778732299805]",[61.40778732299805],58.97634
71,"[61.40778732299805, 61.40778732299805, 61.40778732299805]",[61.40778732299805],58.765694
72,"[61.40778732299805, 61.40778732299805, 61.40778732299805]",[61.40778732299805],58.765694
73,"[61.40778732299805, 61.40778732299805, 61.40778732299805]",[61.0],58.765694
74,"[61.40778732299805, 61.40778732299805, 61.0]",[61.40778732299805],58.627594
75,"[61.40778732299805, 61.0, 61.40778732299805]",[61.40778732299805],58.69046
76,"[61.0, 61.40778732299805, 61.40778732299805]",[61.40778732299805],58.631847
